"plot","trt","trt.full","num","maoc.stock","poc.stock","soc.stock","tic.stock","tc.stock","cn.ratio","sand","silt","clay","bd","moisture","temperature","ph","p","k","ca","mg","no3","nh4","cec"
"A1","A","Balled-and-burlapped","1",76.8627558625709,12.8803342817622,89.7430901443331,21.6964829097192,111.439573054052,13.88,35.4,46.8,17.8,0.951033882318066,0.282954102483198,16.1,7.68,107.8,54.2,6450.4,474.8,9.9,1.22,36.32
"A2","A","Balled-and-burlapped","2",76.9726814058762,14.5983862091226,91.5710676149988,24.5764623977852,116.147530012784,14.53,39.2,44.6,16.2,0.938171817315747,0.276349367601539,17.02,7.68,110.8,68.2,7492.2,523.8,12.54,1,42
"A3","A","Balled-and-burlapped","3",77.1657761095932,16.1879416541224,93.3537177637157,18.6357928085404,111.989510572256,14.14,39.6,42.2,18.2,0.969372914557057,0.249572975295859,16.16,7.72,115.6,64,6165.4,546.4,7.02,1.22,35.52
"B1","B","Bareroot","1",73.4785823275506,18.0657877097299,91.5443700372804,17.8660601266246,109.410430163905,13.498,39.6,43.4,17,0.891229909025208,0.261776654100166,16.06,7.78,112,70.6,6885.8,578.8,8.32,1,39.44
"B2","B","Bareroot","2",78.3397662168789,16.3566987155551,94.696464932434,15.3723845005715,110.068849433005,13.696,40,41,19,0.899797617897469,0.264257367451522,16.5,7.72,123,70,6165.8,547.8,7.06,1.3,35.58
"B3","B","Bareroot","3",65.0530311571028,14.1836454801674,79.2366766372702,16.4195713682504,95.6562480055206,14.492,38.6,43.6,17.8,0.780290558847055,0.244801169814095,16.64,7.72,109.4,55.2,6227,550.8,6.96,1.04,35.84
"C1","C","Seedling","1",75.8857954921187,17.7805601305047,93.6663556226234,25.0625030667733,118.728858689397,16.764,42.6,42.8,14.6,0.893201741529927,0.285869837158861,15.84,7.7,107.4,53.6,6762.2,524.2,8.72,1,38.32
"C2","C","Seedling","2",78.2758887272379,10.3345836566077,88.6104723838456,14.65850543094,103.268977814786,20,37.8,44.4,17.8,0.87471134278434,0.234991406546842,16.52,7.66,114,50,6262.2,539.4,7.28,1,35.92
"C3","C","Seedling","3",76.4829004284354,8.96979415883471,85.4526945872701,12.3356328555961,97.7883274428662,13.878,40,42.2,17.8,0.813173140155998,0.242684545713837,16.02,7.6,111.6,58.6,6082.6,563.2,8.56,1.04,35.26
"D1","D","Acorn","1",96.6826529184844,11.9481811229218,108.630834041406,0.988005462017163,109.618839503423,14.48,40.6,41.6,17.8,0.753762775777039,0.341401081640225,16.72,7.6,113.2,82,6651.6,548.6,11.04,1.02,38.04
"D2","D","Acorn","2",64.9307573360314,15.882406036361,80.8131633723924,10.2985606176742,91.1117239900666,16.016,37.6,47.4,15,0.758065007662449,0.280197293597501,17.26,7.6,97.6,79,7768.8,528.8,11.74,1.22,43.46
"D3","D","Acorn","3",91.5838272310401,16.0331440222324,107.616971253272,0,107.616971253272,13.602,42.2,38.8,19,0.812320009292112,0.294415177430239,18.2,7.7,122.4,93.4,6835.2,572.8,10.16,1.06,39.2
"E1","E","Seedbank","1",98.8648070494774,19.631806299795,118.496613349272,0,118.496613349272,15.368,45.8,37.6,16.6,0.846237160163376,0.305834081682367,16.5,7.5,97,79.8,6425.8,508.8,10.92,1.02,36.58
"E2","E","Seedbank","2",105.038238026363,17.9149009041244,122.953138930488,0,122.953138930488,17.666,39.4,43.2,17.4,0.900257032285973,0.279911561326906,17.16,7.64,109.2,66.8,6956.4,554,9.08,1,39.56
"E3","E","Seedbank","3",97.5404321510581,13.2859917128141,110.826423863872,0,110.826423863872,20.314,38,43.8,18.2,0.914252535746377,0.279152939978295,17.48,7.66,116.8,85,6528.8,520.8,8.02,1,37.2
"R1","R","Reference","1",117.394067523938,17.2211943399021,134.61526186384,0,134.61526186384,23.07,46.6,38.4,15,0.979964811975723,0.276960751905097,15.9,7.42,80.6,50.2,5914.8,648.4,10.88,1,35.32
"R2","R","Reference","2",104.008121533464,15.6474001515311,119.655521684996,0,119.655521684996,23.192,40.4,43.4,16.2,0.893071758329289,0.305667318904414,16.4,7.6,79.8,50.8,6367.8,614,9.84,1,37.1
"R3","R","Reference","3",111.489202325307,16.0169919812203,127.506194306527,0,127.506194306527,21.968,49.8,32.8,17.4,0.927384223850709,0.310559868933417,18.06,7.48,84,88,5800.4,745.2,9.54,1.32,35.48
