"treatment","plot","quadrat","n"
"A","1","Q1","2"
"A","1","Q2","4"
"A","1","Q3","2"
"A","1","Q4","8"
"A","1","Q5","9"
"A","2","Q1","1"
"A","2","Q2","2"
"A","2","Q3","7"
"A","2","Q4","10"
"A","2","Q5","4"
"A","3","Q1","8"
"A","3","Q2","5"
"A","3","Q3","9"
"A","3","Q4","9"
"A","3","Q5","8"
"B","1","Q1","3"
"B","1","Q2","4"
"B","1","Q3","6"
"B","1","Q4","4"
"B","1","Q5","3"
"B","2","Q1","2"
"B","2","Q2","1"
"B","2","Q3","6"
"B","2","Q4","8"
"B","2","Q5","2"
"B","3","Q1","1"
"B","3","Q2","6"
"B","3","Q3","6"
"B","3","Q4","6"
"B","3","Q5","4"
"C","1","Q1","8"
"C","1","Q2","8"
"C","1","Q3","8"
"C","1","Q4","3"
"C","1","Q5","3"
"C","2","Q1","5"
"C","2","Q2","9"
"C","2","Q3","6"
"C","2","Q4","5"
"C","2","Q5","2"
"C","3","Q1","2"
"C","3","Q2","4"
"C","3","Q3","3"
"C","3","Q4","5"
"C","3","Q5","7"
"D","1","Q1","5"
"D","1","Q2","7"
"D","1","Q3","7"
"D","1","Q4","5"
"D","1","Q5","7"
"D","2","Q1","2"
"D","2","Q2","1"
"D","2","Q3","2"
"D","2","Q4","5"
"D","2","Q5","9"
"D","3","Q1","3"
"D","3","Q2","2"
"D","3","Q3","2"
"D","3","Q4","3"
"D","3","Q5","4"
"E","1","Q1","2"
"E","1","Q2","2"
"E","1","Q3","2"
"E","1","Q4","2"
"E","1","Q5","2"
"E","2","Q1","3"
"E","2","Q2","3"
"E","2","Q3","3"
"E","2","Q4","1"
"E","2","Q5","2"
"E","3","Q1","2"
"E","3","Q2","4"
"E","3","Q3","3"
"E","3","Q4","5"
"E","3","Q5","4"
"R","1","Q1","6"
"R","1","Q2","6"
"R","1","Q3","7"
"R","1","Q4","4"
"R","1","Q5","3"
"R","2","Q1","6"
"R","2","Q2","11"
"R","2","Q3","8"
"R","2","Q4","6"
"R","2","Q5","5"
"R","3","Q1","8"
"R","3","Q2","7"
"R","3","Q3","5"
"R","3","Q4","6"
"R","3","Q5","6"
